Java HotSpot(TM) 64-Bit Server VM (25.121-b13) for linux-amd64 JRE (1.8.0_121-b13), built on Dec 12 2016 16:36:53 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
2017-05-07T20:22:01.667+0800: 17.148: [GC (Allocation Failure) [PSYoungGen: 696221K->360K(697344K)] 715214K->19353K(2095616K), 0.0005442 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:22:01.856+0800: 17.337: [GC (Allocation Failure) [PSYoungGen: 696168K->434K(697344K)] 715161K->19427K(2095616K), 0.0005175 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:22:02.048+0800: 17.529: [GC (Allocation Failure) [PSYoungGen: 696242K->392K(697344K)] 715235K->19385K(2095616K), 0.0006559 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2017-05-07T20:22:02.243+0800: 17.724: [GC (Allocation Failure) [PSYoungGen: 696200K->477K(697344K)] 715193K->19470K(2095616K), 0.0006284 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:22:02.432+0800: 17.913: [GC (Allocation Failure) [PSYoungGen: 696262K->360K(697344K)] 715255K->19353K(2095616K), 0.0005049 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:22:02.621+0800: 18.102: [GC (Allocation Failure) [PSYoungGen: 696168K->392K(697344K)] 715161K->19385K(2095616K), 0.0005257 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2017-05-07T20:22:02.811+0800: 18.293: [GC (Allocation Failure) [PSYoungGen: 696163K->392K(697344K)] 715156K->19385K(2095616K), 0.0007245 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2017-05-07T20:22:03.001+0800: 18.482: [GC (Allocation Failure) [PSYoungGen: 696200K->392K(697856K)] 715193K->19385K(2096128K), 0.0013629 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:22:03.189+0800: 18.670: [GC (Allocation Failure) [PSYoungGen: 697224K->360K(697856K)] 716217K->19353K(2096128K), 0.0005409 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:22:03.380+0800: 18.862: [GC (Allocation Failure) [PSYoungGen: 697192K->201K(697856K)] 716185K->19387K(2096128K), 0.0011812 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:22:03.565+0800: 19.047: [GC (Allocation Failure) [PSYoungGen: 697024K->1017K(697856K)] 716210K->23847K(2096128K), 0.0020582 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
